fecha,morosidad,paro,paro_lag_12,euribor,inflacion_interanual,pred_morosidad_m1,pred_morosidad_m2
2010-07-01,5.48,19.59,17.75,1.3733636363636363,1.9153337010479945,6.700867801175934,6.740178290373877
2010-08-01,5.64,19.59,17.75,1.4210454545454547,1.816607807840831,6.700867801175934,6.771869321529796
2010-09-01,5.51,19.59,17.75,1.4204545454545454,2.128069861296677,6.700867801175934,6.693052075735604
2010-10-01,5.68,20.11,18.66,1.4953809523809525,2.3318152600555253,7.308070687497458,7.249801283673823
2010-11-01,5.69,20.11,18.66,1.5405,2.3328572400190373,7.308070687497458,7.2559102669899715
2010-12-01,5.81,20.11,18.66,1.5260434782608694,2.98791770980733,7.308070687497458,7.088277245728755
2011-01-01,6.06,21.08,19.84,1.549952380952381,3.26969859398838,8.095432671958335,7.795425641282762
2011-02-01,6.2,21.08,19.84,1.714,3.589574125325301,8.095432671958335,7.737734273461462
2011-03-01,6.11,21.08,19.84,1.9240869565217391,3.595981685232008,8.095432671958335,7.7657861260355014
2011-04-01,6.36,20.64,19.89,2.085578947368421,3.779887482419131,8.128795467910066,7.774944380092412
2011-05-01,6.49,20.64,19.89,2.147136363636364,3.515092633823147,8.128795467910066,7.85057532565905
2011-06-01,6.69,20.64,19.89,2.144136363636364,3.1855713150415577,8.128795467910066,7.933450570735833
2011-07-01,6.93,21.28,19.59,2.1826666666666665,3.091639719114037,7.928618692199675,7.76560264639092
2011-08-01,7.15,21.28,19.59,2.096913043478261,2.9610634995613783,7.928618692199675,7.78649931162517
2011-09-01,7.16,21.28,19.59,2.066909090909091,3.1410999919078586,7.928618692199675,7.736750688964275
2011-10-01,7.42,22.56,20.11,2.1101428571428573,3.0124024377205183,8.275591770097687,8.116916440075645
2011-11-01,7.52,22.56,20.11,2.043909090909091,2.8725242589392463,8.275591770097687,8.142921411136282
2011-12-01,7.84,22.56,20.11,2.0035238095238093,2.378058447392073,8.275591770097687,8.26221249632313
2012-01-01,8.13,24.19,21.08,1.836636363636364,1.9976576432697124,8.922830011561288,8.971881054301717
2012-02-01,8.3,24.19,21.08,1.6783333333333332,1.973841614163807,8.922830011561288,8.955543545703296
2012-03-01,8.37,24.19,21.08,1.4985,1.8985170721409927,8.922830011561288,8.949185928044688
2012-04-01,8.73,24.4,20.64,1.367842105263158,2.060230130702756,8.62923740718605,8.600869460345585
2012-05-01,8.96,24.4,20.64,1.2660454545454545,1.9422791146335605,8.62923740718605,8.616308793917627
2012-06-01,9.65,24.4,20.64,1.2190476190476192,1.8954128919405957,8.62923740718605,8.621518267020294
2012-07-01,10.09,24.79,21.28,1.060818181818182,2.207522902065784,9.056281195368218,8.94061344049529
2012-08-01,10.52,24.79,21.28,0.8766086956521739,2.6543800547916385,9.056281195368218,8.801636626559636
2012-09-01,10.71,24.79,21.28,0.73985,3.412880026152343,9.056281195368218,8.590582035075197
2012-10-01,11.23,25.77,22.56,0.6500869565217391,3.4756999403201982,9.910368771732557,9.402704803982619
2012-11-01,11.38,25.77,22.56,0.5879090909090908,2.9292811825664344,9.910368771732557,9.532051084144255
2012-12-01,10.43,25.77,22.56,0.549,2.8673927631239327,9.910368771732557,9.542200397259965
2013-01-01,10.78,26.94,24.19,0.5753181818181818,2.682707237829307,10.997995919759028,10.66315781106727
2013-02-01,10.4,26.94,24.19,0.59415,2.754206910934709,10.997995919759028,10.647743279736606
2013-03-01,10.47,26.94,24.19,0.54495,2.426361105716324,10.997995919759028,10.723669924273082
2013-04-01,10.88,26.06,24.4,0.5284285714285715,1.3853421859040038,11.1381196627563,11.122417495154398
2013-05-01,11.22,26.06,24.4,0.4837727272727272,1.7224182906245389,11.1381196627563,11.030901825587971
2013-06-01,11.63,26.06,24.4,0.50705,2.063849957723729,11.1381196627563,10.947879648559303
2013-07-01,11.98,25.65,24.79,0.5253913043478261,1.774616056294609,11.39834947117981,11.279729718552275
2013-08-01,12.14,25.65,24.79,0.5423181818181818,1.5195239676175645,11.39834947117981,11.34660453676556
2013-09-01,12.67,25.65,24.79,0.5434285714285715,0.3414048176013207,11.39834947117981,11.644575440770176
2013-10-01,13.0,25.73,25.77,0.5409565217391304,-0.0990508670085432,12.05226027183376,12.399214141095241
2013-11-01,13.07,25.73,25.77,0.5063809523809524,0.2334982048256106,12.05226027183376,12.310266536301379
2013-12-01,13.62,25.73,25.77,0.5425,0.2521514414030257,12.05226027183376,12.31065249596607
2014-01-01,13.53,25.93,26.94,0.5621363636363637,0.1995044157824699,12.83294969710429,13.095168918999823
2014-02-01,13.43,25.93,26.94,0.549,-0.0177592855693076,12.83294969710429,13.148235206527545
2014-03-01,13.39,25.93,26.94,0.5772857142857143,-0.1453690477695279,12.83294969710429,13.184488319349702
2014-04-01,13.45,24.47,26.06,0.60395,0.3677350292802694,12.245764488353803,12.480579951082177
2014-05-01,13.41,24.47,26.06,0.5922857142857142,0.2061570564794834,12.245764488353803,12.519777477839693
2014-06-01,13.09,24.47,26.06,0.5127142857142857,0.0853531486525449,12.245764488353803,12.539076963958475
