fecha,morosidad,euribor,ipc,inflacion_interanual,paro,paro_lag_6,paro_lag_12,euribor_lag_6,euribor_lag_12
2010-12-01,5.81,1.5260434782608694,75.692,2.9879177098073306,20.11,19.89,18.66,1.2813181818181818,1.242409090909091
2011-01-01,6.06,1.549952380952381,75.138,3.2696985939883794,21.08,19.59,19.84,1.3733636363636363,1.23215
2011-02-01,6.2,1.714,75.234,3.589574125325301,21.08,19.59,19.84,1.4210454545454547,1.2252
2011-03-01,6.11,1.9240869565217391,75.796,3.595981685232008,21.08,19.59,19.84,1.4204545454545454,1.2151304347826086
2011-04-01,6.36,2.085578947368421,76.739,3.779887482419131,20.64,20.11,19.89,1.4953809523809523,1.22515
2011-05-01,6.49,2.147136363636364,76.714,3.515092633823147,20.64,20.11,19.89,1.5405,1.2493333333333334
2011-06-01,6.69,2.1441363636363637,76.606,3.1855713150415577,20.64,20.11,19.89,1.5260434782608694,1.2813181818181818
2011-07-01,6.93,2.1826666666666665,76.194,3.0916397191140366,21.28,21.08,19.59,1.549952380952381,1.3733636363636363
2011-08-01,7.15,2.096913043478261,76.289,2.9610634995613783,21.28,21.08,19.59,1.714,1.4210454545454547
2011-09-01,7.16,2.066909090909091,76.475,3.1410999919078586,21.28,21.08,19.59,1.9240869565217391,1.4204545454545454
2011-10-01,7.42,2.1101428571428573,77.078,3.0124024377205183,22.56,20.64,20.11,2.085578947368421,1.4953809523809523
2011-11-01,7.52,2.043909090909091,77.391,2.8725242589392463,22.56,20.64,20.11,2.147136363636364,1.5405
2011-12-01,7.84,2.0035238095238093,77.492,2.378058447392073,22.56,20.64,20.11,2.1441363636363637,1.5260434782608694
2012-01-01,8.13,1.8366363636363636,76.639,1.9976576432697124,24.19,21.28,21.08,2.1826666666666665,1.549952380952381
2012-02-01,8.3,1.6783333333333332,76.719,1.973841614163807,24.19,21.28,21.08,2.096913043478261,1.714
2012-03-01,8.37,1.4985,77.235,1.8985170721409927,24.19,21.28,21.08,2.066909090909091,1.9240869565217391
2012-04-01,8.73,1.367842105263158,78.32,2.060230130702756,24.4,22.56,20.64,2.1101428571428573,2.085578947368421
2012-05-01,8.96,1.2660454545454545,78.204,1.9422791146335605,24.4,22.56,20.64,2.043909090909091,2.147136363636364
2012-06-01,9.65,1.2190476190476192,78.058,1.8954128919405955,24.4,22.56,20.64,2.0035238095238093,2.1441363636363637
2012-07-01,10.09,1.0608181818181819,77.876,2.207522902065784,24.79,24.19,21.28,1.8366363636363636,2.1826666666666665
2012-08-01,10.52,0.8766086956521739,78.314,2.6543800547916385,24.79,24.19,21.28,1.6783333333333332,2.096913043478261
2012-09-01,10.71,0.73985,79.085,3.412880026152343,24.79,24.19,21.28,1.4985,2.066909090909091
2012-10-01,11.23,0.6500869565217391,79.757,3.4756999403201982,25.77,24.4,22.56,1.367842105263158,2.1101428571428573
2012-11-01,11.38,0.5879090909090908,79.658,2.9292811825664344,25.77,24.4,22.56,1.2660454545454545,2.043909090909091
2012-12-01,10.43,0.549,79.714,2.8673927631239327,25.77,24.4,22.56,1.2190476190476192,2.0035238095238093
2013-01-01,10.78,0.5753181818181818,78.695,2.682707237829307,26.94,24.79,24.19,1.0608181818181819,1.8366363636363636
2013-02-01,10.4,0.59415,78.832,2.754206910934709,26.94,24.79,24.19,0.8766086956521739,1.6783333333333332
2013-03-01,10.47,0.54495,79.109,2.4263611057163237,26.94,24.79,24.19,0.73985,1.4985
2013-04-01,10.88,0.5284285714285715,79.405,1.3853421859040038,26.06,25.77,24.4,0.6500869565217391,1.367842105263158
2013-05-01,11.22,0.48377272727272724,79.551,1.7224182906245389,26.06,25.77,24.4,0.5879090909090908,1.2660454545454545
2013-06-01,11.63,0.50705,79.669,2.063849957723729,26.06,25.77,24.4,0.549,1.2190476190476192
2013-07-01,11.98,0.5253913043478261,79.258,1.774616056294609,25.65,26.94,24.79,0.5753181818181818,1.0608181818181819
2013-08-01,12.14,0.5423181818181818,79.504,1.5195239676175643,25.65,26.94,24.79,0.59415,0.8766086956521739
2013-09-01,12.67,0.5434285714285715,79.355,0.3414048176013207,25.65,26.94,24.79,0.54495,0.73985
2013-10-01,13.0,0.5409565217391304,79.678,-0.09905086700854326,25.73,26.06,25.77,0.5284285714285715,0.6500869565217391
2013-11-01,13.07,0.5063809523809524,79.844,0.23349820482561068,25.73,26.06,25.77,0.48377272727272724,0.5879090909090908
2013-12-01,13.62,0.5425,79.915,0.2521514414030257,25.73,26.06,25.77,0.50705,0.549
2014-01-01,13.53,0.5621363636363637,78.852,0.1995044157824699,25.93,25.65,26.94,0.5253913043478261,0.5753181818181818
2014-02-01,13.43,0.549,78.818,-0.017759285569307615,25.93,25.65,26.94,0.5423181818181818,0.59415
2014-03-01,13.39,0.5772857142857143,78.994,-0.14536904776952797,25.93,25.65,26.94,0.5434285714285715,0.54495
2014-04-01,13.45,0.60395,79.697,0.36773502928026947,24.47,25.73,26.06,0.5409565217391304,0.5284285714285715
2014-05-01,13.41,0.5922857142857142,79.715,0.20615705647948346,24.47,25.73,26.06,0.5063809523809524,0.48377272727272724
2014-06-01,13.09,0.5127142857142857,79.737,0.08535314865254495,24.47,25.73,26.06,0.5425,0.50705
2014-07-01,13.14,0.48752173913043473,78.987,-0.34192132024527533,23.67,25.93,25.65,0.5621363636363637,0.5253913043478261
2014-08-01,13.24,0.46909523809523807,79.112,-0.4930569531092943,23.67,25.93,25.65,0.549,0.5423181818181818
2014-09-01,13.02,0.3623181818181818,79.233,-0.15373952491966048,23.67,25.93,25.65,0.5772857142857143,0.5434285714285715
2014-10-01,12.91,0.33760869565217394,79.602,-0.09538392027911291,23.7,24.47,25.73,0.60395,0.5409565217391304
2014-11-01,12.73,0.33470000000000005,79.547,-0.3719753519362712,23.7,24.47,25.73,0.5922857142857142,0.5063809523809524
2014-12-01,12.51,0.32852380952380955,79.083,-1.0411061753112794,23.7,24.47,25.73,0.5127142857142857,0.5425
2015-01-01,12.55,0.29819047619047623,77.812,-1.3189265966621067,23.78,23.67,25.93,0.48752173913043473,0.5621363636363637
2015-02-01,12.5,0.25505,77.972,-1.073358877413788,23.78,23.67,25.93,0.46909523809523807,0.549
2015-03-01,12.09,0.21236363636363634,78.47,-0.6633415196090842,23.78,23.67,25.93,0.3623181818181818,0.5772857142857143
2015-04-01,11.95,0.18045,79.191,-0.6349047015571485,22.37,23.7,24.47,0.33760869565217394,0.60395
2015-05-01,11.42,0.1653,79.569,-0.18315248071253398,22.37,23.7,24.47,0.33470000000000005,0.5922857142857142
2015-06-01,11.0,0.16304545454545455,79.782,0.05643553181082783,22.37,23.7,24.47,0.32852380952380955,0.5127142857142857
2015-07-01,10.92,0.1672608695652174,79.041,0.06836568042842828,21.18,23.78,23.67,0.29819047619047623,0.48752173913043473
2015-08-01,10.95,0.16128571428571428,78.779,-0.42092223682880237,21.18,23.78,23.67,0.25505,0.46909523809523807
2015-09-01,10.66,0.15359090909090908,78.536,-0.8796839700629833,21.18,23.78,23.67,0.21236363636363634,0.3623181818181818
2015-10-01,10.53,0.12790909090909092,79.039,-0.7072686615914203,20.9,22.37,23.7,0.18045,0.33760869565217394
2015-11-01,10.32,0.07890476190476191,79.329,-0.2740518184218166,20.9,22.37,23.7,0.1653,0.33470000000000005
2015-12-01,10.12,0.05890909090909091,79.097,0.017702919717255128,20.9,22.37,23.7,0.16304545454545455,0.32852380952380955
2016-01-01,10.12,0.04235,77.588,-0.28787333573228047,21.0,21.18,23.78,0.1672608695652174,0.29819047619047623
2016-02-01,10.1,-0.007857142857142858,77.314,-0.8438926794233859,21.0,21.18,23.78,0.16128571428571428,0.25505
2016-03-01,9.99,-0.012380952380952381,77.81,-0.8410857652606074,21.0,21.18,23.78,0.15359090909090908,0.21236363636363634
2016-04-01,9.91,-0.009761904761904762,78.355,-1.055675518682675,20.0,20.9,22.37,0.12790909090909092,0.18045
2016-05-01,9.84,-0.012590909090909092,78.783,-0.9878218904347147,20.0,20.9,22.37,0.07890476190476191,0.1653
2016-06-01,9.44,-0.028,79.148,-0.7946654633877337,20.0,20.9,22.37,0.05890909090909091,0.16304545454545455
2016-07-01,9.38,-0.05604761904761905,78.572,-0.5933629382219308,18.91,21.0,21.18,0.04235,0.1672608695652174
2016-08-01,9.39,-0.04830434782608695,78.673,-0.13455362469693144,18.91,21.0,21.18,-0.007857142857142858,0.16128571428571428
2016-09-01,9.21,-0.05709090909090909,78.677,0.17953549964349058,18.91,21.0,21.18,-0.012380952380952381,0.15359090909090908
2016-10-01,9.26,-0.06876190476190476,79.576,0.6794114298004583,18.63,20.0,20.9,-0.009761904761904762,0.12790909090909092
2016-11-01,9.21,-0.07404545454545454,79.864,0.6744065852336556,18.63,20.0,20.9,-0.012590909090909092,0.07890476190476191
2016-12-01,9.11,-0.08042857142857143,80.338,1.5689596318444465,18.63,20.0,20.9,-0.028,0.05890909090909091
2017-01-01,9.17,-0.09450000000000001,79.896,2.974686807238247,18.75,18.91,21.0,-0.05604761904761905,0.04235
2017-02-01,9.14,-0.1059,79.608,2.967121090617497,18.75,18.91,21.0,-0.04830434782608695,-0.007857142857142858
2017-03-01,8.83,-0.1096086956521739,79.592,2.290194062459827,18.75,18.91,21.0,-0.05709090909090909,-0.012380952380952381
2017-04-01,8.85,-0.119,80.356,2.5537617254801637,17.22,18.63,20.0,-0.06876190476190476,-0.009761904761904762
2017-05-01,8.74,-0.12722727272727272,80.308,1.935696787377994,17.22,18.63,20.0,-0.07404545454545454,-0.012590909090909092
2017-06-01,8.41,-0.1490909090909091,80.343,1.5098296861575822,17.22,18.63,20.0,-0.08042857142857143,-0.028
2017-07-01,8.48,-0.1540952380952381,79.788,1.5476251081810277,16.38,18.75,18.91,-0.09450000000000001,-0.05604761904761905
2017-08-01,8.49,-0.15634782608695652,79.947,1.6193611531275076,16.38,18.75,18.91,-0.1059,-0.04830434782608695
2017-09-01,8.33,-0.1682857142857143,80.086,1.7908664539827202,16.38,18.75,18.91,-0.1096086956521739,-0.05709090909090909
2017-10-01,8.22,-0.17977272727272728,80.825,1.5695687141851877,16.55,17.22,18.63,-0.119,-0.06876190476190476
2017-11-01,8.07,-0.18895454545454546,81.194,1.6653310628067741,16.55,17.22,18.63,-0.12722727272727272,-0.07404545454545454
2017-12-01,7.79,-0.18973684210526315,81.231,1.1115536856780128,16.55,17.22,18.63,-0.1490909090909091,-0.08042857142857143
2018-01-01,7.85,-0.18868181818181817,80.355,0.5744968458996746,16.74,16.38,18.75,-0.1540952380952381,-0.09450000000000001
2018-02-01,7.81,-0.19125,80.463,1.0740126620440105,16.74,16.38,18.75,-0.15634782608695652,-0.1059
